event_id,away_team,home_team,event_start,opening_line,opening_total,opening_capture_time,closing_line,closing_total,closing_capture_time,countdown,line_change,total_change,ML,event_status,current_line,current_total,capture_time
179634207,Richmond,Vanderbilt,2020-12-16 13:00:00-05:00,6.5,146.0,2020-12-15 23:43:08.178001-05:00,,,,0 days 12:49:06.511729,0.0,0.0,,NOT_STARTED,6.5,146.0,2020-12-16 00:10:53.488271-05:00
179634205,UMass,La Salle,2020-12-16 13:00:00-05:00,3.0,140.0,2020-12-15 23:43:08.178001-05:00,,,,0 days 12:49:06.511729,0.5,0.0,,NOT_STARTED,3.5,140.0,2020-12-16 00:10:53.488271-05:00
179634206,Northeastern,Syracuse,2020-12-16 15:00:00-05:00,-18.0,144.5,2020-12-15 23:43:08.178001-05:00,,,,0 days 14:49:06.511729,0.0,0.0,,NOT_STARTED,-18.0,144.5,2020-12-16 00:10:53.488271-05:00
179634209,UTSA,Oregon State,2020-12-16 17:00:00-05:00,-7.5,151.5,2020-12-15 23:43:08.178001-05:00,,,,0 days 16:49:06.511729,0.0,0.0,,NOT_STARTED,-7.5,151.5,2020-12-16 00:10:53.488271-05:00
179634208,Omaha,Colorado,2020-12-16 17:00:00-05:00,-21.0,138.0,2020-12-15 23:43:08.178001-05:00,,,,0 days 16:49:06.511729,0.0,0.0,,NOT_STARTED,-21.0,138.0,2020-12-16 00:10:53.488271-05:00
179634211,Toledo,Marshall,2020-12-16 18:00:00-05:00,-6.5,148.5,2020-12-15 23:43:08.178001-05:00,,,,0 days 17:49:06.511729,0.0,0.0,,NOT_STARTED,-6.5,148.5,2020-12-16 00:10:53.488271-05:00
179634212,Mercer,Georgia State,2020-12-16 18:00:00-05:00,-4.5,152.5,2020-12-15 23:43:08.178001-05:00,,,,0 days 17:49:06.511729,0.0,0.0,,NOT_STARTED,-4.5,152.5,2020-12-16 00:10:53.488271-05:00
179634210,San Diego,Cal Poly,2020-12-16 18:00:00-05:00,5.0,142.0,2020-12-15 23:43:08.178001-05:00,,,,0 days 17:49:06.511729,0.0,0.0,,NOT_STARTED,5.0,142.0,2020-12-16 00:10:53.488271-05:00
179634220,Butler,Villanova,2020-12-16 19:00:00-05:00,-11.5,130.0,2020-12-15 23:43:08.178001-05:00,,,,0 days 18:49:06.511729,-1.0,0.0,,NOT_STARTED,-12.5,130.0,2020-12-16 00:10:53.488271-05:00
179634218,Ohio State,Purdue,2020-12-16 19:00:00-05:00,-4.5,134.5,2020-12-15 23:43:08.178001-05:00,,,,0 days 18:49:06.511729,0.0,0.0,,NOT_STARTED,-4.5,134.5,2020-12-16 00:10:53.488271-05:00
