event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179631777,2020-12-18 19:00:00-05:00,0.35,185,UAB,-5.5,42.5,Marshall,-230,0.7,0.0,0.0,NOT_STARTED,-5.5,,42.5,,+185,,-230,,2020-12-16 18:17:56.664901-05:00,,2 days 00:42:03.335099,2020-12-16 18:17:56.664901-05:00
179631778,2020-12-18 19:30:00-05:00,0.22,350,Ball State,-14.0,67.5,Buffalo,-530,0.84,0.0,0.0,NOT_STARTED,-14.0,,67.5,,+350,,-530,,2020-12-16 18:17:56.664901-05:00,,2 days 01:12:03.335099,2020-12-16 18:17:56.664901-05:00
179633143,2020-12-18 20:00:00-05:00,0.45,123,Oregon,-3.5,63.5,USC,-152,0.6,0.0,0.0,NOT_STARTED,-3.5,,63.5,,+123,,-152,,2020-12-16 18:17:56.664901-05:00,,2 days 01:42:03.335099,2020-12-16 18:17:56.664901-05:00
179631827,2020-12-19 12:00:00-05:00,0.86,-625,Texas A&M,14.0,51.5,Tennessee,430,0.19,0.0,0.0,NOT_STARTED,14.0,,51.5,,-625,,+430,,2020-12-16 18:17:56.664901-05:00,,2 days 17:42:03.335099,2020-12-16 18:17:56.664901-05:00
179626826,2020-12-19 12:00:00-05:00,0.11,800,Northwestern,-21.0,57.5,Ohio State,-1430,0.93,0.0,0.0,NOT_STARTED,-21.0,,57.5,,+800,,-1430,,2020-12-16 18:17:56.664901-05:00,,2 days 17:42:03.335099,2020-12-16 18:17:56.664901-05:00
179625640,2020-12-19 12:00:00-05:00,0.66,-195,Oklahoma,5.5,57.5,Iowa State,155,0.39,0.0,0.0,NOT_STARTED,5.5,,57.5,,-195,,+155,,2020-12-16 18:17:56.664901-05:00,,2 days 17:42:03.335099,2020-12-16 18:17:56.664901-05:00
179631863,2020-12-19 12:00:00-05:00,0.38,160,Florida State,-6.5,66.0,Wake Forest,-200,0.67,0.0,0.0,NOT_STARTED,-6.5,,66.0,,+160,,-200,,2020-12-16 18:17:56.664901-05:00,,2 days 17:42:03.335099,2020-12-16 18:17:56.664901-05:00
179631830,2020-12-19 13:30:00-05:00,0.26,280,Washington State,-10.5,57.5,Utah,-375,0.79,0.0,0.0,NOT_STARTED,-10.5,,57.5,,+280,,-375,,2020-12-16 18:17:56.664901-05:00,,2 days 19:12:03.335099,2020-12-16 18:17:56.664901-05:00
179631832,2020-12-19 15:00:00-05:00,0.6,-148,Air Force,2.5,37.0,Army,120,0.45,0.0,0.0,NOT_STARTED,2.5,,37.0,,-148,,+120,,2020-12-16 18:17:56.664901-05:00,,2 days 20:42:03.335099,2020-12-16 18:17:56.664901-05:00
179631864,2020-12-19 15:30:00-05:00,0.45,120,Louisiana-Lafayette,-3.0,54.5,Coastal Carolina,-148,0.6,0.0,0.0,NOT_STARTED,-3.0,,54.5,,+120,,-148,,2020-12-16 18:17:56.664901-05:00,,2 days 21:12:03.335099,2020-12-16 18:17:56.664901-05:00
