event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179618933,2020-12-22 19:00:00-05:00,0.35,188,GS Warriors,-5.5,,BKN Nets,-235,0.7,0.0,,NOT_STARTED,-5.5,,,,188.0,,-235.0,,2020-12-16 15:49:31.330400-05:00,,6 days 00:41:24.506448,2020-12-16 18:18:35.493552-05:00
179618936,2020-12-22 22:00:00-05:00,0.48,110,LA Clippers,-2.0,,LA Lakers,-136,0.58,0.0,,NOT_STARTED,-2.0,,,,110.0,,-136.0,,2020-12-16 15:49:31.330400-05:00,,6 days 03:41:24.506448,2020-12-16 18:18:35.493552-05:00
179618937,2020-12-23 19:30:00-05:00,0.6,-152,MIL Bucks,3.0,,BOS Celtics,125,0.44,0.0,,NOT_STARTED,3.0,,,,-152.0,,125.0,,2020-12-16 15:49:31.330400-05:00,,7 days 01:11:24.506448,2020-12-16 18:18:35.493552-05:00
179623773,2020-12-23 19:30:00-05:00,0.36,175,NO Pelicans,-5.5,,TOR Raptors,-215,0.68,0.0,,NOT_STARTED,-5.5,,,,175.0,,-215.0,,2020-12-16 15:49:31.330400-05:00,,7 days 01:11:24.506448,2020-12-16 18:18:35.493552-05:00
179618935,2020-12-23 22:30:00-05:00,0.51,-106,DAL Mavericks,-1.0,,PHO Suns,-115,0.53,0.0,,NOT_STARTED,-1.0,,,,-106.0,,-115.0,,2020-12-16 15:49:31.330400-05:00,,7 days 04:11:24.506448,2020-12-16 18:18:35.493552-05:00
179618788,2020-12-25 12:00:00-05:00,0.35,188,NO Pelicans,-5.5,,MIA Heat,-235,0.7,0.0,,NOT_STARTED,-5.5,,,,188.0,,-235.0,,2020-12-16 15:49:31.330400-05:00,,8 days 17:41:24.506448,2020-12-16 18:18:35.493552-05:00
179618789,2020-12-25 14:30:00-05:00,0.29,245,GS Warriors,-7.5,,MIL Bucks,-315,0.76,0.0,,NOT_STARTED,-7.5,,,,245.0,,-315.0,,2020-12-16 15:49:31.330400-05:00,,8 days 20:11:24.506448,2020-12-16 18:18:35.493552-05:00
179618790,2020-12-25 17:00:00-05:00,0.54,-117,BKN Nets,1.0,,BOS Celtics,-104,0.51,0.0,,NOT_STARTED,1.0,,,,-117.0,,-104.0,,2020-12-16 15:49:31.330400-05:00,,8 days 22:41:24.506448,2020-12-16 18:18:35.493552-05:00
179618791,2020-12-25 20:00:00-05:00,0.31,225,DAL Mavericks,-7.0,,LA Lakers,-278,0.74,0.0,,NOT_STARTED,-7.0,,,,225.0,,-278.0,,2020-12-16 15:49:31.330400-05:00,,9 days 01:41:24.506448,2020-12-16 18:18:35.493552-05:00
179618792,2020-12-25 22:30:00-05:00,0.56,-125,LA Clippers,2.0,,DEN Nuggets,102,0.5,0.0,,NOT_STARTED,2.0,,,,-125.0,,102.0,,2020-12-16 15:49:31.330400-05:00,,9 days 04:11:24.506448,2020-12-16 18:18:35.493552-05:00
