event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179631779,2020-12-17 20:20:00-05:00,0.43,135,LA Chargers,-3.0,53.0,LV Raiders,-152,0.6,0.5,0.0,NOT_STARTED,-3.5,,53.0,,165.0,,-195.0,,2020-12-16 11:15:47.978838-05:00,,1 days 02:02:02.213460,2020-12-16 18:17:57.786540-05:00
176121455,2020-12-19 16:30:00-05:00,0.73,-275,BUF Bills,6.0,50.0,DEN Broncos,235,0.3,-0.5,0.0,NOT_STARTED,6.5,,50.0,,-305.0,,255.0,,2020-12-16 11:15:47.978838-05:00,,2 days 22:12:02.213460,2020-12-16 18:17:57.786540-05:00
179631780,2020-12-19 20:15:00-05:00,0.23,330,CAR Panthers,-8.5,51.5,GB Packers,-400,0.8,0.0,0.5,NOT_STARTED,-8.5,,51.0,,330.0,,-400.0,,2020-12-16 11:15:47.978838-05:00,,3 days 01:57:02.213460,2020-12-16 18:17:57.786540-05:00
179632598,2020-12-20 13:00:00-05:00,0.15,575,JAX Jaguars,-13.0,47.5,BAL Ravens,-770,0.89,0.5,1.0,NOT_STARTED,-13.5,,46.5,,600.0,,-1000.0,,2020-12-16 11:15:47.978838-05:00,,3 days 18:42:02.213460,2020-12-16 18:17:57.786540-05:00
175321939,2020-12-20 13:00:00-05:00,0.27,265,HOU Texans,-7.0,51.0,IND Colts,-315,0.76,0.5,0.5,NOT_STARTED,-7.5,,50.5,,270.0,,-345.0,,2020-12-16 11:15:47.978838-05:00,,3 days 18:42:02.213460,2020-12-16 18:17:57.786540-05:00
179631829,2020-12-20 13:00:00-05:00,0.7,-235,SEA Seahawks,5.5,44.0,WAS Football Team,200,0.33,0.0,-0.5,NOT_STARTED,5.5,,44.5,,-250.0,,200.0,,2020-12-16 11:15:47.978838-05:00,,3 days 18:42:02.213460,2020-12-16 18:17:57.786540-05:00
179631782,2020-12-20 13:00:00-05:00,0.71,-250,TB Buccaneers,6.5,50.5,ATL Falcons,215,0.32,1.0,0.0,NOT_STARTED,5.5,,50.5,,-278.0,,220.0,,2020-12-16 11:15:47.978838-05:00,,3 days 18:42:02.213460,2020-12-16 18:17:57.786540-05:00
179633751,2020-12-20 13:00:00-05:00,0.18,465,DET Lions,-10.5,,TEN Titans,-590,0.86,0.0,,NOT_STARTED,-10.5,,50.5,,450.0,,-670.0,,2020-12-16 11:15:47.978838-05:00,,3 days 18:42:02.213460,2020-12-16 18:17:57.786540-05:00
176185664,2020-12-20 13:00:00-05:00,0.47,112,NE Patriots,-2.0,42.0,MIA Dolphins,-127,0.56,0.0,0.5,NOT_STARTED,-2.0,,41.5,,112.0,,-136.0,,2020-12-16 11:15:47.978838-05:00,,3 days 18:42:02.213460,2020-12-16 18:17:57.786540-05:00
179631818,2020-12-20 13:00:00-05:00,0.39,155,CHI Bears,-3.0,47.0,MIN Vikings,-180,0.64,0.5,0.5,NOT_STARTED,-3.5,,46.5,,150.0,,-182.0,,2020-12-16 11:15:47.978838-05:00,,3 days 18:42:02.213460,2020-12-16 18:17:57.786540-05:00
179631798,2020-12-20 13:00:00-05:00,0.6,-148,SF 49ers,3.0,45.0,DAL Cowboys,130,0.43,-0.5,-0.5,NOT_STARTED,3.5,,45.5,,-152.0,,125.0,,2020-12-16 11:15:47.978838-05:00,,3 days 18:42:02.213460,2020-12-16 18:17:57.786540-05:00
175163786,2020-12-20 16:05:00-05:00,0.1,950,NY Jets,-17.5,44.0,LA Rams,-1667,0.94,-1.0,-0.5,NOT_STARTED,-16.5,,44.5,,900.0,,-2000.0,,2020-12-16 11:15:47.978838-05:00,,3 days 21:47:02.213460,2020-12-16 18:17:57.786540-05:00
175163782,2020-12-20 16:05:00-05:00,0.31,220,PHI Eagles,-6.0,49.0,ARI Cardinals,-265,0.73,0.5,0.5,NOT_STARTED,-6.5,,48.5,,220.0,,-278.0,,2020-12-16 11:15:47.978838-05:00,,3 days 21:47:02.213460,2020-12-16 18:17:57.786540-05:00
176073583,2020-12-20 16:25:00-05:00,0.64,-175,KC Chiefs,3.0,51.5,NO Saints,150,0.4,0.5,1.0,NOT_STARTED,2.5,,50.5,,-200.0,,163.0,,2020-12-16 11:15:47.978838-05:00,,3 days 22:07:02.213460,2020-12-16 18:17:57.786540-05:00
175163815,2020-12-20 20:20:00-05:00,0.68,-215,CLE Browns,5.0,44.0,NY Giants,185,0.35,0.5,-1.5,NOT_STARTED,4.5,,45.5,,-225.0,,180.0,,2020-12-16 11:15:47.978838-05:00,,4 days 02:02:02.213460,2020-12-16 18:17:57.786540-05:00
176185431,2020-12-21 20:15:00-05:00,0.87,-670,PIT Steelers,11.5,40.5,CIN Bengals,510,0.16,-1.0,0.0,NOT_STARTED,12.5,,40.5,,-770.0,,500.0,,2020-12-16 11:15:47.978838-05:00,,5 days 01:57:02.213460,2020-12-16 18:17:57.786540-05:00
