event_id,event_status,current_line,current_total,capture_time,period,minute,second,home_score,away_score,away_ML,tie_ML,home_ML
179637068,NOT_STARTED,,2.62,2020-12-23 16:55:03.504354-05:00,,,,,,+135,+225,+210
179637070,NOT_STARTED,,3.27,2020-12-23 16:55:03.504354-05:00,,,,,,+230,+275,+106
179637071,NOT_STARTED,,3.07,2020-12-23 16:55:03.504354-05:00,,,,,,+475,+310,-177
179637072,NOT_STARTED,,2.62,2020-12-23 16:55:03.504354-05:00,,,,,,+195,+225,+143
179637073,NOT_STARTED,,3.27,2020-12-23 16:55:03.504354-05:00,,,,,,+100,+265,+255
179637074,NOT_STARTED,,2.77,2020-12-23 16:55:03.504354-05:00,,,,,,-150,+290,+410
179637075,NOT_STARTED,,3.13,2020-12-23 16:55:03.504354-05:00,,,,,,+325,+290,-129
179637077,NOT_STARTED,,3.12,2020-12-23 16:55:03.504354-05:00,,,,,,-177,+320,+460
179637078,NOT_STARTED,,4.11,2020-12-23 16:55:03.504354-05:00,,,,,,-835,+800,+1900
179641797,NOT_STARTED,,3.67,2020-12-23 16:55:03.504354-05:00,,,,,,+330,+335,-143
179641798,NOT_STARTED,,3.16,2020-12-23 16:55:03.504354-05:00,,,,,,+220,+280,+110
179641799,NOT_STARTED,,2.76,2020-12-23 16:55:03.504354-05:00,,,,,,-109,+255,+295
179641800,NOT_STARTED,,3.13,2020-12-23 16:55:03.504354-05:00,,,,,,+275,+255,-106
179641801,NOT_STARTED,,3.16,2020-12-23 16:55:03.504354-05:00,,,,,,-235,+385,+580
179641802,NOT_STARTED,,2.69,2020-12-23 16:55:03.504354-05:00,,,,,,+150,+225,+188
179641803,NOT_STARTED,,3.0,2020-12-23 16:55:03.504354-05:00,,,,,,+128,+245,+205
179641804,NOT_STARTED,,2.96,2020-12-23 16:55:03.504354-05:00,,,,,,+230,+270,+110
179641806,NOT_STARTED,,2.61,2020-12-23 16:55:03.504354-05:00,,,,,,+255,+235,+110
