event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179631777,2020-12-18 19:00:00-05:00,,,UAB,,,Marshall,,,,,,-4.5,,42.0,,170.0,,-210.0,,2020-12-17 13:17:52.809249-05:00,,,
179631778,2020-12-18 19:30:00-05:00,,,Ball State,,,Buffalo,,,,,,-13.5,,67.5,,330.0,,-480.0,,2020-12-17 13:17:52.809249-05:00,,,
179633143,2020-12-18 20:00:00-05:00,,,Oregon,,,USC,,,,,,-3.5,,63.5,,123.0,,-152.0,,2020-12-17 13:17:52.809249-05:00,,,
179626826,2020-12-19 12:00:00-05:00,,,Northwestern,,,Ohio State,,,,,,-20.5,,57.0,,750.0,,-1430.0,,2020-12-17 13:17:52.809249-05:00,,,
179631827,2020-12-19 12:00:00-05:00,,,Texas A&M,,,Tennessee,,,,,,14.0,,51.5,,-625.0,,430.0,,2020-12-17 13:17:52.809249-05:00,,,
179625640,2020-12-19 12:00:00-05:00,,,Oklahoma,,,Iowa State,,,,,,5.5,,57.5,,-195.0,,155.0,,2020-12-17 13:17:52.809249-05:00,,,
179631863,2020-12-19 12:00:00-05:00,,,Florida State,,,Wake Forest,,,,,,-6.5,,66.0,,160.0,,-200.0,,2020-12-17 13:17:52.809249-05:00,,,
179631830,2020-12-19 13:30:00-05:00,,,Washington State,,,Utah,,,,,,-10.5,-11.5,56.5,55.0,280.0,300.0,-360.0,-400.0,2020-12-17 13:17:52.809249-05:00,2020-12-19 13:25:42.284539-05:00,,
179631832,2020-12-19 15:00:00-05:00,,,Air Force,,,Army,,,,,,2.5,,37.0,,-148.0,,120.0,,2020-12-17 13:17:52.809249-05:00,,,
179631864,2020-12-19 15:30:00-05:00,,,Louisiana-Lafayette,,,Coastal Carolina,,,,,,-3.0,,54.5,,118.0,,-143.0,,2020-12-17 13:17:52.809249-05:00,,,
179631833,2020-12-19 15:30:00-05:00,,,Ole Miss,,,LSU,,,,,,2.5,1.0,78.0,74.5,-127.0,-113.0,105.0,-108.0,2020-12-17 13:17:52.809249-05:00,2020-12-19 15:26:10.450878-05:00,,
179631834,2020-12-19 15:30:00-05:00,,,Missouri,,,Mississippi State,,,,,,1.0,-1.0,49.5,49.0,-115.0,-107.0,-106.0,-114.0,2020-12-17 13:17:52.809249-05:00,2020-12-19 15:26:10.450878-05:00,,
179625583,2020-12-19 16:00:00-05:00,,,Notre Dame,,,Clemson,,,,,,-10.5,-11.0,60.5,60.0,275.0,330.0,-360.0,-455.0,2020-12-17 13:17:52.809249-05:00,2020-12-19 15:26:10.450878-05:00,,
179631835,2020-12-19 16:00:00-05:00,,,Minnesota,,,Wisconsin,,,,,,-12.0,-12.0,47.5,46.5,350.0,350.0,-480.0,-480.0,2020-12-17 13:17:52.809249-05:00,2020-12-19 15:26:10.450878-05:00,,
179631838,2020-12-19 16:15:00-05:00,,,Boise State,,,San José State,,,,,,7.0,6.5,55.5,57.5,-245.0,-240.0,195.0,190.0,2020-12-17 13:17:52.809249-05:00,2020-12-19 15:26:10.450878-05:00,,
179631841,2020-12-19 17:30:00-05:00,,,Illinois,,,Penn State,,,,,,-15.5,-16.0,52.0,53.0,500.0,510.0,-715.0,-770.0,2020-12-17 13:17:52.809249-05:00,2020-12-19 17:07:59.296279-05:00,,
179631847,2020-12-19 19:00:00-05:00,,,Stanford,,,UCLA,,,,,,-6.5,,58.5,,170.0,,-230.0,,2020-12-17 13:17:52.809249-05:00,,,
179631850,2020-12-19 19:30:00-05:00,,,Michigan State,,,Maryland,,,,,,-2.5,,50.5,,108.0,,-132.0,,2020-12-17 13:17:52.809249-05:00,,,
179625581,2020-12-19 20:00:00-05:00,,,Florida,,,Alabama,,,,,,-17.0,,74.5,,480.0,,-770.0,,2020-12-17 13:17:52.809249-05:00,,,
179625582,2020-12-19 20:00:00-05:00,,,Tulsa,,,Cincinnati,,,,,,-14.0,,45.5,,480.0,,-715.0,,2020-12-17 13:17:52.809249-05:00,,,
179631849,2020-12-19 22:30:00-05:00,,,Arizona State,,,Oregon State,,,,,,7.5,,54.0,,-250.0,,200.0,,2020-12-17 13:17:52.809249-05:00,,,
179637403,2020-12-21 14:30:00-05:00,0.93,-1250.0,Appalachian State,20.5,64.5,North Texas,700.0,0.12,1.0,1.0,NOT_STARTED,19.5,,63.5,,-910.0,,575.0,,2020-12-18 22:19:25.047182-05:00,,0 days 17:14:28.772544,2020-12-20 21:15:31.227456-05:00
179637415,2020-12-22 15:30:00-05:00,0.59,-141.0,Tulane,2.5,56.5,Nevada,116.0,0.46,-1.0,0.0,NOT_STARTED,3.5,,56.5,,-148.0,,120.0,,2020-12-18 22:19:25.047182-05:00,,1 days 18:14:28.772544,2020-12-20 21:15:31.227456-05:00
179637407,2020-12-22 19:00:00-05:00,0.36,175.0,UCF,-6.5,70.5,BYU,-220.0,0.69,-3.0,0.0,NOT_STARTED,-3.5,,70.5,,125.0,,-155.0,,2020-12-18 22:19:25.047182-05:00,,1 days 21:44:28.772544,2020-12-20 21:15:31.227456-05:00
