event_id,event_start,implied_probability_away,away_ML,away_team,tie_ML,implied_probability_tie,current_total,home_team,home_ML,implied_probability_home,total_change,event_status,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_tie,closing_ML_tie,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179632372,2021-02-18 12:55:00-05:00,0.18,450.0,Wolfsberger AC,300.0,0.25,2.85,Tottenham,-167.0,0.63,0.0,NOT_STARTED,2.85,,+450,,+300,,-167,,2020-12-23 16:54:44.818523-05:00,,56 days 20:00:15.181477,2020-12-23 16:54:44.818523-05:00
179632375,2021-02-18 12:55:00-05:00,0.4,150.0,Dynamo Kyiv,240.0,0.29,2.69,Club Brugge,175.0,0.36,0.0,NOT_STARTED,2.69,,+150,,+240,,+175,,2020-12-23 16:54:44.818523-05:00,,56 days 20:00:15.181477,2020-12-23 16:54:44.818523-05:00
179632377,2021-02-18 12:55:00-05:00,0.38,165.0,Real Sociedad,240.0,0.29,2.69,Manchester United,155.0,0.39,0.0,NOT_STARTED,2.69,,+165,,+240,,+155,,2020-12-23 16:54:44.818523-05:00,,56 days 20:00:15.181477,2020-12-23 16:54:44.818523-05:00
179632391,2021-02-18 12:55:00-05:00,0.22,350.0,Red Star Belgrade,275.0,0.27,2.96,AC Milan,-134.0,0.57,0.0,NOT_STARTED,2.96,,+350,,+275,,-134,,2020-12-23 16:54:44.818523-05:00,,56 days 20:00:15.181477,2020-12-23 16:54:44.818523-05:00
179632394,2021-02-18 12:55:00-05:00,0.29,240.0,Slavia Praha,255.0,0.28,2.78,Leicester City,105.0,0.49,0.0,NOT_STARTED,2.78,,+240,,+255,,+105,,2020-12-23 16:54:44.818523-05:00,,56 days 20:00:15.181477,2020-12-23 16:54:44.818523-05:00
179632398,2021-02-18 12:55:00-05:00,0.3,230.0,S.C. Braga,240.0,0.29,2.77,Roma,115.0,0.47,0.0,NOT_STARTED,2.77,,+230,,+240,,+115,,2020-12-23 16:54:44.818523-05:00,,56 days 20:00:15.181477,2020-12-23 16:54:44.818523-05:00
179632399,2021-02-18 12:55:00-05:00,0.48,110.0,FC Krasnodar,230.0,0.3,2.6,Dinamo Zagreb,255.0,0.28,0.0,NOT_STARTED,2.6,,+110,,+230,,+255,,2020-12-23 16:54:44.818523-05:00,,56 days 20:00:15.181477,2020-12-23 16:54:44.818523-05:00
179632401,2021-02-18 12:55:00-05:00,0.28,260.0,Young Boys,280.0,0.26,3.05,Bayer Leverkusen,-108.0,0.52,0.0,NOT_STARTED,3.05,,+260,,+280,,-108,,2020-12-23 16:54:44.818523-05:00,,56 days 20:00:15.181477,2020-12-23 16:54:44.818523-05:00
179632416,2021-02-18 12:55:00-05:00,0.47,115.0,Olympiakos Piraeus,250.0,0.29,2.78,PSV Eindhoven,225.0,0.31,0.0,NOT_STARTED,2.78,,+115,,+250,,+225,,2020-12-23 16:54:44.818523-05:00,,56 days 20:00:15.181477,2020-12-23 16:54:44.818523-05:00
179632388,2021-02-18 15:00:00-05:00,0.43,135.0,Benfica,245.0,0.29,2.83,Arsenal,190.0,0.34,0.0,NOT_STARTED,2.83,,+135,,+245,,+190,,2020-12-23 16:54:44.818523-05:00,,56 days 22:05:15.181477,2020-12-23 16:54:44.818523-05:00
179632392,2021-02-18 15:00:00-05:00,0.33,200.0,Royal Antwerp FC,255.0,0.28,2.78,Rangers FC,128.0,0.44,0.0,NOT_STARTED,2.78,,+200,,+255,,+128,,2020-12-23 16:54:44.818523-05:00,,56 days 22:05:15.181477,2020-12-23 16:54:44.818523-05:00
179632397,2021-02-18 15:00:00-05:00,0.45,120.0,Red Bull Salzburg,240.0,0.29,3.05,Villarreal,220.0,0.31,0.0,NOT_STARTED,3.05,,+120,,+240,,+220,,2020-12-23 16:54:44.818523-05:00,,56 days 22:05:15.181477,2020-12-23 16:54:44.818523-05:00
179632402,2021-02-18 15:00:00-05:00,0.21,375.0,Molde,270.0,0.27,3.05,TSG Hoffenheim,-137.0,0.58,0.0,NOT_STARTED,3.05,,+375,,+270,,-137,,2020-12-23 16:54:44.818523-05:00,,56 days 22:05:15.181477,2020-12-23 16:54:44.818523-05:00
179632405,2021-02-18 15:00:00-05:00,0.3,230.0,Granada CF,240.0,0.29,2.52,Napoli,115.0,0.47,0.0,NOT_STARTED,2.52,,+230,,+240,,+115,,2020-12-23 16:54:44.818523-05:00,,56 days 22:05:15.181477,2020-12-23 16:54:44.818523-05:00
179632411,2021-02-18 15:00:00-05:00,0.28,260.0,Maccabi Tel Aviv,250.0,0.29,2.69,Shakhtar Donetsk,100.0,0.5,0.0,NOT_STARTED,2.69,,+260,,+250,,+100,,2020-12-23 16:54:44.818523-05:00,,56 days 22:05:15.181477,2020-12-23 16:54:44.818523-05:00
179632414,2021-02-18 15:00:00-05:00,0.37,170.0,Lille,240.0,0.29,2.69,Ajax,155.0,0.39,0.0,NOT_STARTED,2.69,,+170,,+240,,+155,,2020-12-23 16:54:44.818523-05:00,,56 days 22:05:15.181477,2020-12-23 16:54:44.818523-05:00
