event_id,event_status,current_line,current_total,capture_time,period,minute,second,home_score,away_score,away_ML,tie_ML,home_ML
179632372,NOT_STARTED,,2.85,2020-12-23 16:54:44.818523-05:00,,,,,,+450,+300,-167
179632375,NOT_STARTED,,2.69,2020-12-23 16:54:44.818523-05:00,,,,,,+150,+240,+175
179632377,NOT_STARTED,,2.69,2020-12-23 16:54:44.818523-05:00,,,,,,+165,+240,+155
179632391,NOT_STARTED,,2.96,2020-12-23 16:54:44.818523-05:00,,,,,,+350,+275,-134
179632394,NOT_STARTED,,2.78,2020-12-23 16:54:44.818523-05:00,,,,,,+240,+255,+105
179632398,NOT_STARTED,,2.77,2020-12-23 16:54:44.818523-05:00,,,,,,+230,+240,+115
179632399,NOT_STARTED,,2.6,2020-12-23 16:54:44.818523-05:00,,,,,,+110,+230,+255
179632401,NOT_STARTED,,3.05,2020-12-23 16:54:44.818523-05:00,,,,,,+260,+280,-108
179632416,NOT_STARTED,,2.78,2020-12-23 16:54:44.818523-05:00,,,,,,+115,+250,+225
179632388,NOT_STARTED,,2.83,2020-12-23 16:54:44.818523-05:00,,,,,,+135,+245,+190
179632392,NOT_STARTED,,2.78,2020-12-23 16:54:44.818523-05:00,,,,,,+200,+255,+128
179632397,NOT_STARTED,,3.05,2020-12-23 16:54:44.818523-05:00,,,,,,+120,+240,+220
179632402,NOT_STARTED,,3.05,2020-12-23 16:54:44.818523-05:00,,,,,,+375,+270,-137
179632405,NOT_STARTED,,2.52,2020-12-23 16:54:44.818523-05:00,,,,,,+230,+240,+115
179632411,NOT_STARTED,,2.69,2020-12-23 16:54:44.818523-05:00,,,,,,+260,+250,+100
179632414,NOT_STARTED,,2.69,2020-12-23 16:54:44.818523-05:00,,,,,,+170,+240,+155
