event_id,event_start,implied_probability_away,away_ML,away_team,tie_ML,implied_probability_tie,current_total,home_team,home_ML,implied_probability_home,total_change,event_status,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_tie,closing_ML_tie,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179633635,2020-12-23 16:01:57-05:00,0.43,135.0,Real Betis,132.0,0.43,1.23,Cadiz,380.0,0.21,0.0,STARTED,1.23,,+135,,+132,,+380,,2020-12-23 16:55:14.039892-05:00,,-1 days +23:06:42.960108,2020-12-23 16:55:14.039892-05:00
179633637,2020-12-23 16:02:14-05:00,0.68,-215.0,Alavés,275.0,0.27,4.4,Eibar,750.0,0.12,0.0,STARTED,4.4,,-215,,+275,,+750,,2020-12-23 16:55:14.039892-05:00,,-1 days +23:06:59.960108,2020-12-23 16:55:14.039892-05:00
179640275,2020-12-29 11:00:00-05:00,0.45,123.0,Sevilla,230.0,0.3,2.5,Villarreal,230.0,0.3,0.0,NOT_STARTED,2.5,,+123,,+230,,+230,,2020-12-23 16:55:14.039892-05:00,,5 days 18:04:45.960108,2020-12-23 16:55:14.039892-05:00
179640278,2020-12-29 13:15:00-05:00,0.83,-500.0,FC Barcelona,600.0,0.14,3.53,Eibar,1200.0,0.08,0.0,NOT_STARTED,3.53,,-500,,+600,,+1200,,2020-12-23 16:55:14.039892-05:00,,5 days 20:19:45.960108,2020-12-23 16:55:14.039892-05:00
179640276,2020-12-29 15:30:00-05:00,0.38,165.0,Cadiz,190.0,0.34,1.97,Valladolid,205.0,0.33,0.0,NOT_STARTED,1.97,,+165,,+190,,+205,,2020-12-23 16:55:14.039892-05:00,,5 days 22:34:45.960108,2020-12-23 16:55:14.039892-05:00
179640277,2020-12-29 15:30:00-05:00,0.43,135.0,Levante,225.0,0.31,2.96,Real Betis,215.0,0.32,0.0,NOT_STARTED,2.96,,+135,,+225,,+215,,2020-12-23 16:55:14.039892-05:00,,5 days 22:34:45.960108,2020-12-23 16:55:14.039892-05:00
179640287,2020-12-30 11:00:00-05:00,0.45,120.0,Granada CF,230.0,0.3,2.44,Valencia,240.0,0.29,0.0,NOT_STARTED,2.44,,+120,,+230,,+240,,2020-12-23 16:55:14.039892-05:00,,6 days 18:04:45.960108,2020-12-23 16:55:14.039892-05:00
179640288,2020-12-30 13:15:00-05:00,0.66,-195.0,Atlético Madrid,290.0,0.26,2.26,Getafe,600.0,0.14,0.0,NOT_STARTED,2.26,,-195,,+290,,+600,,2020-12-23 16:55:14.039892-05:00,,6 days 20:19:45.960108,2020-12-23 16:55:14.039892-05:00
179640286,2020-12-30 13:15:00-05:00,0.57,-134.0,Celta Vigo,270.0,0.27,2.71,Huesca,375.0,0.21,0.0,NOT_STARTED,2.71,,-134,,+270,,+375,,2020-12-23 16:55:14.039892-05:00,,6 days 20:19:45.960108,2020-12-23 16:55:14.039892-05:00
179640285,2020-12-30 15:30:00-05:00,0.09,1000.0,Elche,480.0,0.17,3.21,Real Madrid,-375.0,0.79,0.0,NOT_STARTED,3.21,,+1000,,+480,,-375,,2020-12-23 16:55:14.039892-05:00,,6 days 22:34:45.960108,2020-12-23 16:55:14.039892-05:00
179641357,2020-12-31 08:00:00-05:00,0.37,170.0,Athletic Club Bilbao,220.0,0.31,2.3,Real Sociedad,172.0,0.37,0.0,NOT_STARTED,2.3,,+170,,+220,,+172,,2020-12-23 16:55:14.039892-05:00,,7 days 15:04:45.960108,2020-12-23 16:55:14.039892-05:00
179641356,2020-12-31 10:15:00-05:00,0.41,145.0,Osasuna,220.0,0.31,2.34,Alavés,205.0,0.33,0.0,NOT_STARTED,2.34,,+145,,+220,,+205,,2020-12-23 16:55:14.039892-05:00,,7 days 17:19:45.960108,2020-12-23 16:55:14.039892-05:00
