event_id,event_status,current_line,current_total,capture_time,period,minute,second,home_score,away_score,away_ML,tie_ML,home_ML
179633635,STARTED,,1.23,2020-12-23 16:55:14.039892-05:00,1st half,45.0,0.0,0,0,+135,+132,+380
179633637,STARTED,,4.4,2020-12-23 16:55:14.039892-05:00,2nd half,45.0,0.0,2,1,-215,+275,+750
179640275,NOT_STARTED,,2.5,2020-12-23 16:55:14.039892-05:00,,,,,,+123,+230,+230
179640278,NOT_STARTED,,3.53,2020-12-23 16:55:14.039892-05:00,,,,,,-500,+600,+1200
179640276,NOT_STARTED,,1.97,2020-12-23 16:55:14.039892-05:00,,,,,,+165,+190,+205
179640277,NOT_STARTED,,2.96,2020-12-23 16:55:14.039892-05:00,,,,,,+135,+225,+215
179640287,NOT_STARTED,,2.44,2020-12-23 16:55:14.039892-05:00,,,,,,+120,+230,+240
179640288,NOT_STARTED,,2.26,2020-12-23 16:55:14.039892-05:00,,,,,,-195,+290,+600
179640286,NOT_STARTED,,2.71,2020-12-23 16:55:14.039892-05:00,,,,,,-134,+270,+375
179640285,NOT_STARTED,,3.21,2020-12-23 16:55:14.039892-05:00,,,,,,+1000,+480,-375
179641357,NOT_STARTED,,2.3,2020-12-23 16:55:14.039892-05:00,,,,,,+170,+220,+172
179641356,NOT_STARTED,,2.34,2020-12-23 16:55:14.039892-05:00,,,,,,+145,+220,+205
