event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179631779,2020-04-08 07:20:00.000000,,,LA Chargers,,,LV Raiders,,,,,,-3.5,,53.0,,165.0,,-195.0,,2020-04-06 22:15:47.978838,,,
176121455,2020-04-10 03:30:00.000000,,,BUF Bills,,,DEN Broncos,,,,,,6.5,,50.0,,-305.0,,255.0,,2020-04-06 22:15:47.978838,,,
179631780,2020-04-10 07:15:00.000000,,,CAR Panthers,,,GB Packers,,,,,,-8.5,,51.0,,330.0,,-400.0,,2020-04-06 22:15:47.978838,,,
179632598,2020-04-11 00:00:00.000000,,,JAX Jaguars,,,BAL Ravens,,,,,,-13.5,,46.5,,600.0,,-1000.0,,2020-04-06 22:15:47.978838,,,
175321939,2020-04-11 00:00:00.000000,,,HOU Texans,,,IND Colts,,,,,,-7.5,,50.5,,270.0,,-345.0,,2020-04-06 22:15:47.978838,,,
179631829,2020-04-11 00:00:00.000000,,,SEA Seahawks,,,WAS Football Team,,,,,,5.5,,44.5,,-250.0,,200.0,,2020-04-06 22:15:47.978838,,,
179631782,2020-04-11 00:00:00.000000,,,TB Buccaneers,,,ATL Falcons,,,,,,5.5,,50.5,,-278.0,,220.0,,2020-04-06 22:15:47.978838,,,
179633751,2020-04-11 00:00:00.000000,,,DET Lions,,,TEN Titans,,,,,,-10.5,,50.5,,450.0,,-670.0,,2020-04-06 22:15:47.978838,,,
176185664,2020-04-11 00:00:00.000000,,,NE Patriots,,,MIA Dolphins,,,,,,-2.0,,41.5,,112.0,,-136.0,,2020-04-06 22:15:47.978838,,,
179631818,2020-04-11 00:00:00.000000,,,CHI Bears,,,MIN Vikings,,,,,,-3.5,,46.5,,150.0,,-182.0,,2020-04-06 22:15:47.978838,,,
179631798,2020-04-11 00:00:00.000000,,,SF 49ers,,,DAL Cowboys,,,,,,3.5,,45.5,,-152.0,,125.0,,2020-04-06 22:15:47.978838,,,
