ML_away,ML_home,away_score,capture_time,current_line,current_total,event_id,event_status,home_score,minute,period,second
165.0,-195.0,,2020-12-16 11:15:47.978838-05:00,-3.5,53.0,179631779,NOT_STARTED,,,,
-305.0,255.0,,2020-12-16 11:15:47.978838-05:00,6.5,50.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-16 11:15:47.978838-05:00,-8.5,51.0,179631780,NOT_STARTED,,,,
600.0,-1000.0,,2020-12-16 11:15:47.978838-05:00,-13.5,46.5,179632598,NOT_STARTED,,,,
270.0,-345.0,,2020-12-16 11:15:47.978838-05:00,-7.5,50.5,175321939,NOT_STARTED,,,,
-250.0,200.0,,2020-12-16 11:15:47.978838-05:00,5.5,44.5,179631829,NOT_STARTED,,,,
-278.0,220.0,,2020-12-16 11:15:47.978838-05:00,5.5,50.5,179631782,NOT_STARTED,,,,
450.0,-670.0,,2020-12-16 11:15:47.978838-05:00,-10.5,50.5,179633751,NOT_STARTED,,,,
112.0,-136.0,,2020-12-16 11:15:47.978838-05:00,-2.0,41.5,176185664,NOT_STARTED,,,,
150.0,-182.0,,2020-12-16 11:15:47.978838-05:00,-3.5,46.5,179631818,NOT_STARTED,,,,
-152.0,125.0,,2020-12-16 11:15:47.978838-05:00,3.5,45.5,179631798,NOT_STARTED,,,,
900.0,-2000.0,,2020-12-16 11:15:47.978838-05:00,-16.5,44.5,175163786,NOT_STARTED,,,,
220.0,-278.0,,2020-12-16 11:15:47.978838-05:00,-6.5,48.5,175163782,NOT_STARTED,,,,
-200.0,163.0,,2020-12-16 11:15:47.978838-05:00,2.5,50.5,176073583,NOT_STARTED,,,,
-225.0,180.0,,2020-12-16 11:15:47.978838-05:00,4.5,45.5,175163815,NOT_STARTED,,,,
-770.0,500.0,,2020-12-16 11:15:47.978838-05:00,12.5,40.5,176185431,NOT_STARTED,,,,
165.0,-195.0,,2020-12-16 14:26:11.494689-05:00,-3.5,53.0,179631779,NOT_STARTED,,,,
-305.0,255.0,,2020-12-16 14:26:11.494689-05:00,6.5,50.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-16 14:26:11.494689-05:00,-8.5,51.0,179631780,NOT_STARTED,,,,
600.0,-1000.0,,2020-12-16 14:26:11.494689-05:00,-13.5,46.5,179632598,NOT_STARTED,,,,
-250.0,200.0,,2020-12-16 14:26:11.494689-05:00,5.5,44.5,179631829,NOT_STARTED,,,,
270.0,-345.0,,2020-12-16 14:26:11.494689-05:00,-7.5,50.5,175321939,NOT_STARTED,,,,
450.0,-670.0,,2020-12-16 14:26:11.494689-05:00,-10.5,50.5,179633751,NOT_STARTED,,,,
-278.0,220.0,,2020-12-16 14:26:11.494689-05:00,5.5,50.5,179631782,NOT_STARTED,,,,
112.0,-136.0,,2020-12-16 14:26:11.494689-05:00,-2.0,41.5,176185664,NOT_STARTED,,,,
150.0,-182.0,,2020-12-16 14:26:11.494689-05:00,-3.5,46.5,179631818,NOT_STARTED,,,,
-152.0,125.0,,2020-12-16 14:26:11.494689-05:00,3.5,45.5,179631798,NOT_STARTED,,,,
900.0,-2000.0,,2020-12-16 14:26:11.494689-05:00,-16.5,44.5,175163786,NOT_STARTED,,,,
220.0,-278.0,,2020-12-16 14:26:11.494689-05:00,-6.5,48.5,175163782,NOT_STARTED,,,,
-200.0,163.0,,2020-12-16 14:26:11.494689-05:00,2.5,50.5,176073583,NOT_STARTED,,,,
-225.0,180.0,,2020-12-16 14:26:11.494689-05:00,4.5,45.0,175163815,NOT_STARTED,,,,
-770.0,500.0,,2020-12-16 14:26:11.494689-05:00,12.5,40.5,176185431,NOT_STARTED,,,,
165.0,-195.0,,2020-12-16 16:34:22.965033-05:00,-3.5,53.0,179631779,NOT_STARTED,,,,
-305.0,255.0,,2020-12-16 16:34:22.965033-05:00,6.5,50.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-16 16:34:22.965033-05:00,-8.5,51.0,179631780,NOT_STARTED,,,,
600.0,-1000.0,,2020-12-16 16:34:22.965033-05:00,-13.5,46.5,179632598,NOT_STARTED,,,,
-250.0,200.0,,2020-12-16 16:34:22.965033-05:00,5.5,44.5,179631829,NOT_STARTED,,,,
270.0,-345.0,,2020-12-16 16:34:22.965033-05:00,-7.5,50.5,175321939,NOT_STARTED,,,,
450.0,-670.0,,2020-12-16 16:34:22.965033-05:00,-10.5,,179633751,NOT_STARTED,,,,
-278.0,220.0,,2020-12-16 16:34:22.965033-05:00,5.5,50.5,179631782,NOT_STARTED,,,,
112.0,-136.0,,2020-12-16 16:34:22.965033-05:00,-2.0,41.5,176185664,NOT_STARTED,,,,
150.0,-182.0,,2020-12-16 16:34:22.965033-05:00,-3.5,46.5,179631818,NOT_STARTED,,,,
-152.0,125.0,,2020-12-16 16:34:22.965033-05:00,3.5,45.5,179631798,NOT_STARTED,,,,
900.0,-2000.0,,2020-12-16 16:34:22.965033-05:00,-16.5,44.5,175163786,NOT_STARTED,,,,
220.0,-278.0,,2020-12-16 16:34:22.965033-05:00,-6.5,48.5,175163782,NOT_STARTED,,,,
-200.0,163.0,,2020-12-16 16:34:22.965033-05:00,2.5,50.5,176073583,NOT_STARTED,,,,
-225.0,180.0,,2020-12-16 16:34:22.965033-05:00,4.5,45.0,175163815,NOT_STARTED,,,,
-770.0,500.0,,2020-12-16 16:34:22.965033-05:00,12.5,40.5,176185431,NOT_STARTED,,,,
135.0,-152.0,,2020-12-16 18:17:57.786540-05:00,-3.0,53.0,179631779,NOT_STARTED,,,,
-275.0,235.0,,2020-12-16 18:17:57.786540-05:00,6.0,50.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-16 18:17:57.786540-05:00,-8.5,51.5,179631780,NOT_STARTED,,,,
575.0,-770.0,,2020-12-16 18:17:57.786540-05:00,-13.0,47.5,179632598,NOT_STARTED,,,,
-235.0,200.0,,2020-12-16 18:17:57.786540-05:00,5.5,44.0,179631829,NOT_STARTED,,,,
265.0,-315.0,,2020-12-16 18:17:57.786540-05:00,-7.0,51.0,175321939,NOT_STARTED,,,,
465.0,-590.0,,2020-12-16 18:17:57.786540-05:00,-10.5,,179633751,NOT_STARTED,,,,
-250.0,215.0,,2020-12-16 18:17:57.786540-05:00,6.5,50.5,179631782,NOT_STARTED,,,,
112.0,-127.0,,2020-12-16 18:17:57.786540-05:00,-2.0,42.0,176185664,NOT_STARTED,,,,
155.0,-180.0,,2020-12-16 18:17:57.786540-05:00,-3.0,47.0,179631818,NOT_STARTED,,,,
-148.0,130.0,,2020-12-16 18:17:57.786540-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
950.0,-1667.0,,2020-12-16 18:17:57.786540-05:00,-17.5,44.0,175163786,NOT_STARTED,,,,
220.0,-265.0,,2020-12-16 18:17:57.786540-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-175.0,150.0,,2020-12-16 18:17:57.786540-05:00,3.0,51.5,176073583,NOT_STARTED,,,,
-215.0,185.0,,2020-12-16 18:17:57.786540-05:00,5.0,44.0,175163815,NOT_STARTED,,,,
-670.0,510.0,,2020-12-16 18:17:57.786540-05:00,11.5,40.5,176185431,NOT_STARTED,,,,
138.0,-157.0,,2020-12-16 22:58:23.953414-05:00,-3.0,53.0,179631779,NOT_STARTED,,,,
-275.0,235.0,,2020-12-16 22:58:23.953414-05:00,6.0,50.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-16 22:58:23.953414-05:00,-8.0,51.5,179631780,NOT_STARTED,,,,
575.0,-770.0,,2020-12-16 22:58:23.953414-05:00,-13.0,47.5,179632598,NOT_STARTED,,,,
-235.0,200.0,,2020-12-16 22:58:23.953414-05:00,5.5,44.0,179631829,NOT_STARTED,,,,
265.0,-315.0,,2020-12-16 22:58:23.953414-05:00,-7.0,51.0,175321939,NOT_STARTED,,,,
-250.0,215.0,,2020-12-16 22:58:23.953414-05:00,6.5,50.5,179631782,NOT_STARTED,,,,
465.0,-590.0,,2020-12-16 22:58:23.953414-05:00,-10.5,,179633751,NOT_STARTED,,,,
112.0,-127.0,,2020-12-16 22:58:23.953414-05:00,-2.0,42.0,176185664,NOT_STARTED,,,,
155.0,-180.0,,2020-12-16 22:58:23.953414-05:00,-3.0,47.0,179631818,NOT_STARTED,,,,
-148.0,130.0,,2020-12-16 22:58:23.953414-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
