event_id,event_start,implied_probability_away,away_ML,away_team,tie_ML,implied_probability_tie,current_total,home_team,home_ML,implied_probability_home,total_change,event_status,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_tie,closing_ML_tie,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179636518,2020-12-26 07:30:00-05:00,0.35,188.0,Leicester City,255.0,0.28,3.0,Manchester United,140.0,0.42,0.0,NOT_STARTED,3.0,,188.0,,255.0,,140.0,,2020-12-23 16:51:42.847632-05:00,,2 days 14:35:34.985069,2020-12-23 16:54:25.014931-05:00
179636517,2020-12-26 10:00:00-05:00,0.31,225.0,Fulham,230.0,0.3,2.62,Southampton,128.0,0.44,0.0,NOT_STARTED,2.62,,225.0,,230.0,,128.0,,2020-12-23 16:51:42.847632-05:00,,2 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179636521,2020-12-26 10:00:00-05:00,0.52,-108.0,Aston Villa,285.0,0.26,2.88,Crystal Palace,275.0,0.27,0.0,NOT_STARTED,2.88,,-108.0,,285.0,,275.0,,2020-12-23 16:51:42.847632-05:00,,2 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179636522,2020-12-26 12:30:00-05:00,0.24,310.0,Arsenal,250.0,0.29,2.65,Chelsea,-108.0,0.52,0.0,NOT_STARTED,2.65,,310.0,,250.0,,-108.0,,2020-12-23 16:51:42.847632-05:00,,2 days 19:35:34.985069,2020-12-23 16:54:25.014931-05:00
179636520,2020-12-26 15:00:00-05:00,0.9,-910.0,Manchester City,850.0,0.11,3.68,Newcastle,2200.0,0.04,0.0,NOT_STARTED,3.68,,-910.0,,850.0,,2200.0,,2020-12-23 16:51:42.847632-05:00,,2 days 22:05:34.985069,2020-12-23 16:54:25.014931-05:00
179636519,2020-12-26 15:00:00-05:00,0.23,330.0,Sheffield United,280.0,0.26,2.66,Everton,-122.0,0.55,0.0,NOT_STARTED,2.66,,330.0,,280.0,,-122.0,,2020-12-23 16:51:42.847632-05:00,,2 days 22:05:34.985069,2020-12-23 16:54:25.014931-05:00
179636515,2020-12-27 07:00:00-05:00,0.58,-137.0,Leeds United,295.0,0.25,3.1,Burnley,360.0,0.22,0.0,NOT_STARTED,3.1,,-137.0,,295.0,,360.0,,2020-12-23 16:51:42.847632-05:00,,3 days 14:05:34.985069,2020-12-23 16:54:25.014931-05:00
179636513,2020-12-27 09:15:00-05:00,0.43,135.0,West Ham,235.0,0.3,2.64,Brighton,205.0,0.33,0.0,NOT_STARTED,2.64,,135.0,,235.0,,205.0,,2020-12-23 16:51:42.847632-05:00,,3 days 16:20:34.985069,2020-12-23 16:54:25.014931-05:00
179636516,2020-12-27 11:30:00-05:00,0.89,-835.0,Liverpool,800.0,0.11,3.61,West Bromwich,2200.0,0.04,0.0,NOT_STARTED,3.61,,-835.0,,800.0,,2200.0,,2020-12-23 16:51:42.847632-05:00,,3 days 18:35:34.985069,2020-12-23 16:54:25.014931-05:00
179636514,2020-12-27 14:15:00-05:00,0.27,275.0,Wolves,225.0,0.31,2.34,Tottenham,112.0,0.47,0.0,NOT_STARTED,2.34,,275.0,,225.0,,112.0,,2020-12-23 16:51:42.847632-05:00,,3 days 21:20:34.985069,2020-12-23 16:54:25.014931-05:00
179638962,2020-12-28 10:00:00-05:00,0.28,260.0,Crystal Palace,255.0,0.28,2.68,Leicester City,105.0,0.49,0.0,NOT_STARTED,2.68,,260.0,,255.0,,105.0,,2020-12-23 16:51:42.847632-05:00,,4 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179638963,2020-12-28 12:30:00-05:00,0.66,-190.0,Chelsea,350.0,0.22,3.22,Aston Villa,480.0,0.17,0.0,NOT_STARTED,3.22,,-190.0,,350.0,,480.0,,2020-12-23 16:51:42.847632-05:00,,4 days 19:35:34.985069,2020-12-23 16:54:25.014931-05:00
179638964,2020-12-28 15:00:00-05:00,0.17,480.0,Everton,330.0,0.23,3.06,Manchester City,-180.0,0.64,0.0,NOT_STARTED,3.06,,480.0,,330.0,,-180.0,,2020-12-23 16:51:42.847632-05:00,,4 days 22:05:34.985069,2020-12-23 16:54:25.014931-05:00
179638960,2020-12-29 13:00:00-05:00,0.33,205.0,Brighton,240.0,0.29,2.55,Arsenal,133.0,0.43,0.0,NOT_STARTED,2.55,,205.0,,240.0,,133.0,,2020-12-23 16:51:42.847632-05:00,,5 days 20:05:34.985069,2020-12-23 16:54:25.014931-05:00
179638959,2020-12-29 13:00:00-05:00,0.42,138.0,Burnley,220.0,0.31,2.29,Sheffield United,215.0,0.32,0.0,NOT_STARTED,2.29,,138.0,,220.0,,215.0,,2020-12-23 16:51:42.847632-05:00,,5 days 20:05:34.985069,2020-12-23 16:54:25.014931-05:00
179639045,2020-12-29 13:00:00-05:00,0.25,300.0,West Bromwich,250.0,0.29,3.18,Leeds United,-106.0,0.51,0.0,NOT_STARTED,3.18,,300.0,,250.0,,-106.0,,2020-12-23 16:51:42.847632-05:00,,5 days 20:05:34.985069,2020-12-23 16:54:25.014931-05:00
179638961,2020-12-29 13:00:00-05:00,0.49,106.0,Southampton,255.0,0.28,2.86,West Ham,255.0,0.28,0.0,NOT_STARTED,2.86,,106.0,,255.0,,255.0,,2020-12-23 16:51:42.847632-05:00,,5 days 20:05:34.985069,2020-12-23 16:54:25.014931-05:00
179639046,2020-12-29 15:00:00-05:00,0.64,-177.0,Manchester United,320.0,0.24,2.64,Wolves,480.0,0.17,0.0,NOT_STARTED,2.64,,-177.0,,320.0,,480.0,,2020-12-23 16:51:42.847632-05:00,,5 days 22:05:34.985069,2020-12-23 16:54:25.014931-05:00
179639047,2020-12-30 13:00:00-05:00,0.67,-205.0,Tottenham,350.0,0.22,2.78,Fulham,550.0,0.15,0.0,NOT_STARTED,2.78,,-205.0,,350.0,,550.0,,2020-12-23 16:51:42.847632-05:00,,6 days 20:05:34.985069,2020-12-23 16:54:25.014931-05:00
179639044,2020-12-30 15:00:00-05:00,0.11,800.0,Newcastle,440.0,0.19,3.28,Liverpool,-305.0,0.75,0.0,NOT_STARTED,3.28,,800.0,,440.0,,-305.0,,2020-12-23 16:51:42.847632-05:00,,6 days 22:05:34.985069,2020-12-23 16:54:25.014931-05:00
179641066,2021-01-02 07:30:00-05:00,0.59,-143.0,Tottenham,320.0,0.24,3.28,Leeds United,350.0,0.22,0.0,NOT_STARTED,3.28,,-143.0,,320.0,,350.0,,2020-12-23 16:51:42.847632-05:00,,9 days 14:35:34.985069,2020-12-23 16:54:25.014931-05:00
179641070,2021-01-02 10:00:00-05:00,0.49,105.0,Crystal Palace,250.0,0.29,2.47,Sheffield United,260.0,0.28,0.0,NOT_STARTED,2.47,,105.0,,250.0,,260.0,,2020-12-23 16:51:42.847632-05:00,,9 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179641075,2021-01-02 10:00:00-05:00,0.21,385.0,Newcastle,290.0,0.26,2.74,Leicester City,-143.0,0.59,0.0,NOT_STARTED,2.74,,385.0,,290.0,,-143.0,,2020-12-23 16:51:42.847632-05:00,,9 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179641064,2021-01-02 10:00:00-05:00,0.58,-137.0,Manchester United,300.0,0.25,3.11,Aston Villa,350.0,0.22,0.0,NOT_STARTED,3.11,,-137.0,,300.0,,350.0,,2020-12-23 16:51:42.847632-05:00,,9 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179641077,2021-01-02 10:00:00-05:00,0.31,225.0,Chelsea,265.0,0.27,3.0,Manchester City,115.0,0.47,0.0,NOT_STARTED,3.0,,225.0,,265.0,,115.0,,2020-12-23 16:51:42.847632-05:00,,9 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179641074,2021-01-02 10:00:00-05:00,0.39,155.0,Burnley,230.0,0.3,2.39,Fulham,180.0,0.36,0.0,NOT_STARTED,2.39,,155.0,,230.0,,180.0,,2020-12-23 16:51:42.847632-05:00,,9 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179641065,2021-01-02 10:00:00-05:00,0.48,110.0,Everton,255.0,0.28,2.78,West Ham,245.0,0.29,0.0,NOT_STARTED,2.78,,110.0,,255.0,,245.0,,2020-12-23 16:51:42.847632-05:00,,9 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179641078,2021-01-02 10:00:00-05:00,0.23,340.0,Southampton,320.0,0.24,3.16,Liverpool,-139.0,0.58,0.0,NOT_STARTED,3.16,,340.0,,320.0,,-139.0,,2020-12-23 16:51:42.847632-05:00,,9 days 17:05:34.985069,2020-12-23 16:54:25.014931-05:00
179641069,2021-01-02 12:30:00-05:00,0.4,150.0,Brighton,230.0,0.3,2.41,Wolves,190.0,0.34,0.0,NOT_STARTED,2.41,,150.0,,230.0,,190.0,,2020-12-23 16:51:42.847632-05:00,,9 days 19:35:34.985069,2020-12-23 16:54:25.014931-05:00
179641073,2021-01-02 15:00:00-05:00,0.19,425.0,West Bromwich,310.0,0.24,2.99,Arsenal,-162.0,0.62,0.0,NOT_STARTED,2.99,,425.0,,310.0,,-162.0,,2020-12-23 16:51:42.847632-05:00,,9 days 22:05:34.985069,2020-12-23 16:54:25.014931-05:00
